id_registry,registry,project_developer,project_name,project_type,saleable_credits_registered,credits_retired_all_time,total_buffer_pool_credits,estimated_annual_emission_reductions,project_description,methodology_version,state,project_status,start,end,crediting_period_term,certification_date,area_hectares,afolu,redd_type,public_or_indigenous_land,document_size_pages,gold_standard_ggc,vcs,ccb-silver,ccb-gold,ccb-biodiversity_gold,ccb-community_gold,ccb-climate_gold,ccb-no_distinction,ccb,ccb_development,fsc_certification,fsc_development,social_carbon,cdm,corsia,sdg,michael_greene_association,vcs_project_validator,legal_issues,legal_issues_-_more_information,ccb_project_status,ccb_project_type,ccb_project_validator,ccb_standard_edition,proponent_information,auditor_site_visit_to_and_from_date,number_of_verifications_ccb,first_verification,second_verification,third_verification,fourth_verification,fifth_verification,sixth__verification,seventh_verification
130,VERRA,Multiple Proponents,"Arrozal, GGP and Sul America Ceramics Fuel Switching Project",Energy Production or Conservation,123808,108898,NA,27771,Energy industries (renewable/non-renewable sources),AMS-I.C.,RJ,Registered,2006-04-01,2024-07-31,"2nd, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,53,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,VERRA,Milton A. Salzedas Panorama - MEa,Sol Nascente Ceramic Fuel Switching Project,Energy Production or Conservation,78171,57675,NA,10411,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2006-04-01,2016-03-31,"CREDITING PERIOD HAS EXPIRED, 01/04/2006 - 31/03/2016",NA,NA,NA,NA,0,46,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,VERRA,Multiple Proponents,Bandeira and Capelli Ceramics Fuel Switching Project,Energy Production or Conservation,306269,204727,NA,14882,Energy industries (renewable/non-renewable sources),AMS-I.E.,AL,Registered,2016-04-01,2026-03-31,"1st, 01/04/2016 - 31/03/2026",NA,NA,NA,NA,0,62,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,http://www.sustainablecarbon.com,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,VERRA,Multiple Proponents,Pôr do Sol Ceramic Fuel Switching Project,Energy Production or Conservation,21688,21688,NA,7905,Energy industries (renewable/non-renewable sources),AMS-I.E.,SP,Registered,2008-04-01,2026-12-31,"2nd, 01/01/2017 - 31/12/2026",NA,NA,NA,NA,0,49,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,VERRA,Multiple Proponents,Menegalli Ceramic Fuel Switching Project,Energy Production or Conservation,261711,256246,NA,26503,Energy industries (renewable/non-renewable sources),AMS-I.E.,PA,Registered,2008-07-01,2028-03-31,"1st, 01/04/2018 - 31/03/2028",NA,NA,NA,NA,0,50,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,http://www.sustainablecarbon.com,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,VERRA,EcoSecurities International Limited,Primavera Small Hydroelectric Project,Energy Production or Conservation,45363,45363,NA,82000,Energy industries (renewable/non-renewable sources),ACM0002,RO,Registered,2008-01-01,2017-12-31,"CREDITING PERIOD HAS EXPIRED, 01/01/2008 - 31/12/2017",NA,NA,NA,NA,0,36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,SGS United Kingdom Ltd. (SGS),NA,NA,NA,NA,NA,NA,www.33assetmngt.com,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,VERRA,Rialma Companhia Energética I S/A,Santa Edwiges I Small Hydro Power Plant - Small Scale CDM Project,Energy Production or Conservation,5222,5222,NA,13138,Energy industries (renewable/non-renewable sources),AMS-I.D.,GO,Registered,2006-09-01,2027-11-01,"3rd, 02/11/2020 - 01/11/2027",NA,NA,NA,NA,0,47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,Bureau Veritas Certification Holding SAS (Bureau Veritas),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
197,VERRA,Multiple Proponents,Kamiranga Ceramic Fuel Switching Project,Energy Production or Conservation,373522,372373,NA,29828,Energy industries (renewable/non-renewable sources),AMS-I.E.,PA,Registered,2008-01-01,2017-12-31,"CREDITING PERIOD HAS EXPIRED, 01/01/2008 - 31/12/2017",NA,NA,NA,NA,0,47,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
198,VERRA,Multiple Proponents,J L Silva Ceramic Fuel Switching Project,Energy Production or Conservation,263291,137093,NA,20941,Energy industries (renewable/non-renewable sources),AMS-I.E.,PE,Registered,2006-10-01,2026-09-30,"2nd, 01/10/2016 - 30/09/2026",NA,NA,NA,NA,0,54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,Earthood Services Private Limited,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
199,VERRA,Multiple Proponents,Santorini Ceramic Fuel Switching Project,Energy Production or Conservation,104155,104124,NA,14601,Energy industries (renewable/non-renewable sources),AMS-I.E.,MG,Registered,2008-04-01,2028-03-31,"2nd, 01/04/2018 - 31/03/2028",NA,NA,NA,NA,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,Tuev Nord Cert GmbH (Tuev Nord),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
