id_registry;registry;project developer;project name;project type;saleable credits registered;credits retired (all time);total buffer pool credits;estimated annual emission reductions;project description;protocol/methodology version;state;project status;document size (pages);gold standard ggc;vcs;ccb-silver;ccb-gold;ccb-biodiversity gold;ccb-community gold;ccb-climate gold;ccb-no distinction;ccb;ccb_development;fsc certification;fsc_development;social carbon;cdm;corsia;sdg;michael_greene_association;area in hectares (ha);afolu;redd type;public_or_indigenous_land;vcs project validator;project_start_crediting;project_end_crediting;crediting period term;certification date;legal issues;legal issues - more information;ccb project status;ccb project type;ccb project validator;ccb standard edition;proponent information;auditor site visit to and from date;number of verification (ccb);first verification;second verification;third verification;fourth verification;fifth verification;sixth  verification;seventh verification
1550;VERRA;Multiple Proponents;Uberlandia landfills I and II;Waste Handling and Disposal;40093;0;NA;40093;Waste handling and disposal;ACM0001;MG;Registered;70;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;NA;0;NA;NA;NA;0;Tuev Nord Cert GmbH (Tuev Nord);01/03/2012;02/28/2026;2nd, 01/03/2019 - 28/02/2026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1553;VERRA;ERB MG Energias S/A;Santa Vitória Cogeneration Project;Energy Production or Conservation;89499;89499;NA;27577;Energy industries (renewable/non-renewable sources);ACM0006;MG;Registered;91;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;NA;NA;0;ERM Certification and Verification Services Ltd. (ERM CVS);08/01/2015;07/31/2025;1st, 01/08/2015 - 31/07/2025;NA;NA;NA;NA;NA;NA;NA;www.socialcarbon.org;NA;NA;NA;NA;NA;NA;NA;NA;NA
1571;VERRA;Multiple Proponents;Manoa REDD+ Project;REDD+;482344;482341;187531;279290;Agriculture Forestry and Other Land Use;VM0015;RO;Registered;166;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4, 6, 8, 12, 13, 15, 17;0;730387;REDD;AUD;0;Rainforest Alliance, Inc. (Rainforest Alliance);01/01/2013;12/31/2042;1st, 01/01/2013 - 31/12/2042;09/04/2017;NA;NA;Validation expired;Reduced Emissions from Deforestation and Degradation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Third Edition;www.biofilica.com.br;30-Jan-2016 to 26-Mar-2016;NA;NA;NA;NA;NA;NA;NA;NA
1654;VERRA;Fazenda Nossa Senhora das Cachoeiras do Ituxi;Fortaleza Ituxi REDD Project;REDD+;1099622;1094546;306674;137675;Agriculture Forestry and Other Land Use;VM0015;AM;Registered;215;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;NA;0;46592;REDD;AUD;0;S&A Carbon, LLC;12/15/2013;12/14/2043;1st, 15/12/2013 - 14/12/2043;05/17/2019;NA;NA;Under validation;Reduced Emissions from Deforestation and Degradation;Rainforest Alliance, Inc. (Rainforest Alliance);CCB Third Edition;https://www.carbonext.com.br/en-US;NA;NA;NA;NA;NA;NA;NA;NA;NA
1663;VERRA;CARBON CREDITS CONSULTING S.R.L.;Fazenda Sao Paulo Afforestation;Forestry, non REDD+;167292;43667;28010;19380;Agriculture Forestry and Other Land Use;AR-ACM0003;MS;Registered;128;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;NA;0;287;ARR;NA;0;RINA S.p.A (RINA);01/01/2013;12/31/2032;1st, 01/01/2013 - 31/12/2032;01/30/2018;NA;NA;Verification approved;Afforestation, Reforestation and Revegetation;RINA S.p.A (RINA);CCB Third Edition;https://carboncreditsconsulting.com/pt-br/;NA;0;NA;NA;NA;NA;NA;NA;NA
1686;VERRA;Agrocortex Madeiras do Acre Agroflorestal Ltda.;Agrocortex REDD Project;REDD+;1797269;1161696;347924;483594;Agriculture Forestry and Other Land Use;VM0015;AC/AM;Registered;227;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;12, 13, 15;0;186067;REDD;AUD;0;Earthood Services Private Limited;07/01/2014;06/30/2044;1st, 01/07/2014 - 30/06/2044;04/11/2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1700;VERRA;Multiple Proponents;Incomex Hydroelectric Project;Energy Production or Conservation;3027;3027;NA;91220;Energy industries (renewable/non-renewable sources);AMS-I.D.;RO;Registered;44;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Det Norske Veritas Climate Change Services AS (DNV);07/01/2017;06/30/2024;2nd, 01/07/2017 - 30/06/2024;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1737;VERRA;Credits transferred from approved GHG program;Pampeana and Terra Santa Small Hydropower Plants Project Activity;Energy Production or Conservation;50000;50000;NA;25194;Energy industries (renewable/non-renewable sources);ACM0002;MG;Credits transferred from approved GHG program;59;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;NA;0;NA;NA;NA;0;Tuev Nord Cert GmbH (Tuev Nord);11/07/2011;11/06/2018;CREDITING PERIOD HAS EXPIRED, 07/11/2011 - 06/11/2018;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
1804;VERRA;Combio Energia S.A.;Combio Renewable Biomass Project - Três Marias;Energy Production or Conservation;50000;30000;NA;58519;Energy industries (renewable/non-renewable sources);AMS-I.C.;MG;Registered;63;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;NA;0;NA;NA;NA;0;RINA S.p.A (RINA);04/01/2017;03/31/2027;1st, 01/04/2017 - 31/03/2027;NA;NA;NA;NA;NA;NA;NA;https://www.sustainablecarbon.com/en/;NA;NA;NA;NA;NA;NA;NA;NA;NA
1811;VERRA;Multiple Proponents;Jari/Pará REDD+ Project;REDD+;900752;798737;111329;525314;Agriculture Forestry and Other Land Use;VM0015;PA;On Hold;230;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;NA;0;496988;REDD;AUD;0;RINA S.p.A (RINA);07/08/2014;07/07/2044;1st, 08/07/2014 - 07/07/2044;07/02/2019;1;Jari Group (one of the proponents) is under investigation for illegal logging. Land Tenure issues (document of 1882 is problematic) - https://www.wrm.org.uy/pt/artigos-do-boletim/fsc-e-rspo-parceiros-no-crime-a-questao-fundiaria-da-jari-florestal-e-da-agropalma-na-amazonia-brasileira;Under Verification;Reduced Emissions from Deforestation and Degradation;RINA S.p.A (RINA);CCB Third Edition;www.biofilica.com.br;NA;1;Earthood Services Private Limited;NA;NA;NA;NA;NA;NA
